Rank	               Card Name	 PWR	 ADP	APR	Deals	Drafted	Plays	WinHand	WinPlay	WtdPWR	Elo/Play
78	        Food Distributor	3.12	4.53	12.09	651	593	492	169	142	3.03	0.79
79	                    Stew	3.09	2.28	4.60	679	638	483	184	147	2.88	3.09
80	              Pet Broker	3.09	4.58	8.47	614	558	421	164	133	2.82	1.79
81	         Charcoal Burner	3.08	2.91	2.95	576	546	456	144	124	3.06	2.93
82	          Moldboard Plow	3.07	2.32	8.42	661	658	614	152	142	3.13	0.19
83	              Steam Plow	3.06	3.43	9.62	640	584	487	155	137	2.90	0.17
84	                 Hauberg	3.05	3.42	9.53	618	598	472	151	132	3.04	1.28
85	      Newly-Plowed Field	3.05	4.22	12.05	618	561	390	168	132	2.70	3.16
86	              Beer Table	3.03	1.92	5.74	688	678	583	166	146	2.95	-1.96
87	          Writing Boards	3.03	3.23	11.95	660	644	525	163	140	3.08	0.50
88	             Forest Plow	3.02	2.33	8.11	648	629	551	152	137	3.10	-0.15
89	          Roof Ballaster	3.01	3.63	11.77	622	606	368	173	131	2.68	3.10
90	 Excursion to the Quarry	3.01	3.89	11.28	632	590	379	189	133	2.63	2.34
91	          Stable Cleaner	3.01	4.52	11.35	603	536	358	167	127	2.60	4.14
92	      Wooden Whey Bucket	3.00	2.72	8.65	661	645	554	157	139	3.00	0.56
93	               Collector	3.00	3.20	7.92	600	540	410	158	126	2.82	1.99
94	        Tree Farm Joiner	3.00	3.81	5.14	647	609	453	164	136	2.79	1.51
95	           Mining Hammer	2.99	3.35	7.16	655	620	536	152	137	3.01	1.12
96	              Tree Guard	2.98	2.54	3.91	647	601	446	169	135	2.72	0.08
97	              Feed Fence	2.98	3.49	6.43	676	628	518	169	141	2.80	-0.03
98	               Plow Hero	2.97	4.02	9.41	631	556	452	153	131	2.88	1.87
99	               Pig Owner	2.97	4.35	13.11	610	564	328	166	127	2.52	2.55
100	                Layabout	2.96	4.22	9.55	603	565	432	155	125	2.83	1.03
101	                  Credit	2.96	4.60	8.08	637	473	372	154	132	2.68	2.46
102	                    Wage	2.95	4.95	7.79	640	536	460	159	132	2.82	1.16
103	            Animal Tamer	2.93	3.86	8.74	643	604	501	150	132	2.90	0.73
104	          Private Forest	2.92	2.86	2.83	679	645	532	159	139	2.91	1.72
105	              Plow Maker	2.91	3.04	8.90	604	576	500	138	123	3.06	1.19
106	             Plow Driver	2.91	3.90	10.04	644	542	411	164	131	2.74	3.04
107	            Young Farmer	2.90	2.72	5.88	631	619	486	158	128	2.91	0.86
108	              Club House	2.90	4.45	7.04	655	560	431	164	133	2.60	1.93
109	                Claypipe	2.88	3.54	6.98	684	638	516	162	138	2.87	0.46
110	                Beer Keg	2.88	3.77	9.06	634	535	337	169	128	2.45	3.33
111	               Blueprint	2.87	2.96	5.53	663	652	505	166	133	2.67	-0.44
112	         Private Teacher	2.86	2.21	1.88	595	579	534	124	119	2.87	-1.56
113	               Cordmaker	2.84	2.83	3.01	604	576	475	142	120	2.79	-0.09
114	               Reed Pond	2.84	3.72	8.33	698	664	517	160	139	2.82	1.47
115	         Field Caretaker	2.84	4.06	9.05	618	573	439	151	123	2.68	-0.24
116	         Potter Ceramics	2.83	2.43	5.05	713	698	629	156	141	2.99	-1.05
117	            Forest Owner	2.83	3.38	4.89	625	594	493	142	124	2.80	0.65
118	             Food Basket	2.83	4.27	10.97	635	570	478	149	126	2.86	0.61
119	         Furniture Maker	2.82	3.50	3.64	597	535	463	140	118	2.84	0.52
120	          Wood Collector	2.82	3.73	5.28	623	595	457	154	123	2.72	0.70
121	             Wood Cutter	2.80	2.05	2.95	622	620	563	137	122	2.97	-0.34
122	                   Canoe	2.80	2.60	4.87	632	599	478	153	124	2.70	0.39
123	              Portmonger	2.80	3.42	4.26	613	554	420	143	120	2.64	0.65
124	                Haydryer	2.77	4.39	11.45	587	515	334	158	114	2.47	2.81
125	              Bricklayer	2.76	3.15	5.14	606	562	444	146	117	2.73	0.98
126	             Conservator	2.74	3.26	11.01	625	604	465	143	120	2.67	0.13
127	           Muddy Puddles	2.72	3.51	10.78	635	607	459	155	121	2.63	0.27
128	                Milk Jug	2.72	3.70	9.57	661	635	535	155	126	2.91	0.68
129	             Supply Boat	2.72	4.11	8.07	645	572	443	149	123	2.60	1.17
130	         Animal Activist	2.72	4.65	5.52	646	529	355	153	123	2.45	3.95
131	           Ranch Provost	2.71	4.52	6.61	596	495	356	145	113	2.56	2.10
132	     Brushwood Collector	2.69	2.32	4.00	622	603	496	137	117	2.67	0.03
133	            Chick Stable	2.69	4.10	5.50	611	561	473	140	115	2.76	-0.07
134	                   Tutor	2.69	4.43	3.98	658	463	354	151	124	2.39	3.31
135	         Village Peasant	2.69	5.09	13.29	654	516	320	170	123	2.27	3.09
136	             Beating Rod	2.65	4.73	7.25	669	553	452	156	124	2.53	0.64
137	                  Trowel	2.63	3.06	10.04	663	630	450	168	122	2.53	0.68
138	           Junior Artist	2.62	2.47	2.69	599	560	461	137	110	2.65	1.01
139	                Equipper	2.62	3.34	3.84	579	537	406	136	106	2.61	0.46
140	            Forest Stone	2.62	4.16	7.55	703	647	533	153	129	2.73	0.67
141	                  Scales	2.61	2.72	1.54	667	589	492	150	122	2.71	1.26
142	             Wood Expert	2.60	3.37	4.51	609	550	446	138	111	2.58	-0.70
143	               Beanfield	2.60	4.41	10.29	677	616	467	150	123	2.44	-0.32
144	         Seasonal Worker	2.59	2.29	5.73	629	619	487	142	114	2.61	0.38
145	                   Buyer	2.59	2.81	6.73	650	645	514	144	118	2.85	-0.14
146	               Storeroom	2.59	4.38	13.12	668	548	305	174	121	2.24	3.35
147	                  Patron	2.58	3.28	2.17	582	538	475	121	105	2.77	0.39
148	            Feed Pellets	2.58	4.62	7.95	682	583	488	151	123	2.68	0.70
149	           Animal Dealer	2.56	2.93	9.25	598	592	436	144	107	2.60	-0.13
150	           Fellow Grazer	2.55	4.79	13.20	633	495	293	159	113	2.20	4.66
151	                Handplow	2.54	3.51	6.06	680	636	524	142	121	2.60	-0.22
152	            Sheep Walker	2.54	4.02	9.91	635	585	399	141	113	2.46	1.56
153	                   Hutch	2.54	4.50	8.07	675	577	382	160	120	2.34	2.72
154	             Big Country	2.53	2.50	8.99	457	415	280	107	81	2.53	3.34
155	        Reed-Hatted Toad	2.53	2.63	1.55	639	608	468	143	113	2.63	1.29
156	                 Plumber	2.51	3.79	8.55	608	575	445	135	107	2.43	-0.36
157	 Gardening Head Official	2.51	4.71	5.52	615	519	356	149	108	2.36	1.33
158	               Carpenter	2.50	2.63	4.17	645	625	517	139	113	2.59	-0.25
159	             Clay Supply	2.50	3.51	4.52	651	618	520	133	114	2.69	-0.25
160	            Game Catcher	2.50	4.60	13.57	605	542	361	142	106	2.45	3.15
161	           Barrow Pusher	2.47	3.62	6.69	566	527	375	125	98	2.35	0.87
162	                 Bucksaw	2.45	4.47	8.31	618	488	357	131	106	2.21	0.34
163	            Trap Builder	2.44	2.76	3.77	614	573	392	146	105	2.34	0.55
164	               Wood Rake	2.44	4.90	11.29	667	539	302	156	114	2.13	4.43
165	         Carpenter's Axe	2.43	3.17	6.71	682	652	520	146	116	2.61	-0.23
166	                   Baker	2.43	3.77	10.03	622	559	350	158	106	2.25	1.92
167	               Nest Site	2.43	4.01	3.89	665	540	408	133	113	2.34	1.92
168	         Threshing Board	2.43	4.29	9.95	682	588	411	153	116	2.32	1.92
169	     Maintenance Premium	2.43	4.36	7.58	688	584	469	137	117	2.35	0.11
170	      Basketmaker's Wife	2.43	4.41	7.20	588	509	362	140	100	2.48	2.90
171	          Swimming Class	2.42	3.83	7.73	625	531	347	146	106	2.27	1.56
172	           Basket Weaver	2.41	4.20	8.25	574	539	349	138	97	2.31	0.60
173	    Shifting Cultivation	2.41	4.45	10.95	676	569	440	145	114	2.38	0.53
174	              Wood Field	2.41	4.70	9.18	663	577	447	144	112	2.55	1.30
175	           Shoreforester	2.37	3.83	2.96	584	500	367	121	97	2.44	1.08
176	             Roof Ladder	2.35	3.83	7.86	662	611	444	144	109	2.37	-0.08
177	                 Tumbrel	2.35	4.69	7.23	688	538	431	140	113	2.30	-0.13
178	            Water Worker	2.34	2.27	3.00	623	611	494	128	102	2.58	-0.69
179	               Constable	2.34	4.20	5.87	599	527	333	142	98	2.22	1.25
180	        Winter Caretaker	2.34	4.46	9.69	617	513	375	136	101	2.33	0.56
181	         Party Organizer	2.34	5.02	11.08	622	495	347	140	102	2.24	2.13
182	           Steam Machine	2.33	3.10	9.06	700	659	413	165	114	2.18	-0.03
183	           Retail Dealer	2.33	3.51	4.59	625	548	407	133	102	2.36	1.67
184	             Paper Maker	2.33	4.43	6.43	600	460	307	138	98	2.09	1.99
185	             Gift Basket	2.33	4.87	11.74	655	519	338	142	107	2.17	2.52
186	             Lumber Mill	2.32	4.19	6.40	676	528	382	140	110	2.16	1.37
187	          Organic Farmer	2.31	5.01	13.25	613	504	241	146	99	1.96	5.11
188	               Mole Plow	2.30	3.04	10.14	609	551	442	115	98	2.57	0.63
189	            Bread Paddle	2.30	4.02	7.55	677	586	423	142	109	2.27	-0.83
190	     Straw-Thatched Roof	2.28	3.42	7.81	677	563	372	149	108	2.16	1.24
191	             Forest Well	2.28	4.59	8.75	664	569	391	145	106	2.37	2.47
192	         Forest Lake Hut	2.24	3.42	6.81	618	572	431	128	97	2.27	0.20
193	           Carriage Trip	2.24	3.88	11.94	492	442	325	106	77	2.22	-2.02
194	           Lantern House	2.22	2.82	1.69	669	564	431	146	104	2.21	-1.21
195	           Forest Trader	2.22	2.92	4.59	599	583	439	120	93	2.25	-3.18
196	       Master Bricklayer	2.22	3.59	8.48	625	587	358	141	97	2.26	1.37
197	                 Plowman	2.22	3.61	3.47	636	567	441	133	99	2.24	-0.46
198	          Drift-Net Boat	2.21	3.71	7.25	692	598	429	131	107	2.16	-0.11
199	           Greening Plan	2.20	4.19	12.36	669	537	294	148	103	1.97	3.32
200	         Stock Protector	2.19	3.30	9.50	614	588	474	111	94	2.50	-0.86
201	          Truffle Slicer	2.17	4.09	9.95	706	640	387	163	107	2.11	0.21
202	                  Grange	2.16	4.46	13.83	636	467	221	146	96	1.88	7.55
203	        Strawberry Patch	2.16	4.59	13.03	662	560	277	166	100	1.93	4.39
204	                   Flail	2.15	4.05	7.00	671	581	465	128	101	2.33	-0.51
205	                Cottager	2.12	2.38	4.65	628	611	462	134	93	2.38	-0.38
206	                Pond Hut	2.11	4.26	6.28	683	585	430	140	101	2.19	0.45
207	        Wildlife Reserve	2.08	4.56	10.10	695	618	412	152	101	2.17	1.44
208	        Clay Hut Builder	2.07	3.95	6.97	621	548	386	131	90	2.29	1.68
209	                 Trident	2.07	4.37	9.73	650	589	442	139	94	2.26	-1.18
210	             Chain Float	2.04	2.61	3.73	638	589	481	114	91	2.35	-1.11
211	     Shifting Cultivator	2.02	4.84	9.99	588	416	263	139	83	1.80	2.15
212	               Chophouse	2.01	4.09	7.25	683	539	415	117	96	2.09	0.44
213	        Sculpture Course	2.00	4.06	4.56	663	481	290	123	93	1.73	0.93
214	           Shovel Bearer	1.99	3.52	4.25	625	557	391	129	87	2.11	0.28
215	            Butter Churn	1.99	4.45	7.52	669	557	387	130	93	2.02	-0.58
216	               Junk Room	1.98	4.12	5.15	684	560	460	118	95	2.14	-0.52
217	        Adoptive Parents	1.98	4.53	6.58	607	494	338	125	84	2.02	-0.05
218	            Small Basket	1.98	4.86	8.66	678	481	343	126	94	1.84	0.41
219	             Greengrocer	1.97	3.68	7.28	601	530	393	110	83	2.07	-0.49
220	       Upscale Lifestyle	1.97	3.90	8.44	652	581	381	149	90	2.08	-0.06
221	            Chicken Coop	1.97	4.30	6.62	675	557	374	128	93	2.01	1.10
222	                  Priest	1.96	4.39	5.92	634	396	285	119	87	1.83	2.22
223	             Housemaster	1.96	4.96	13.18	662	538	244	154	91	1.71	3.83
224	            New Purchase	1.96	5.01	7.41	677	466	355	115	93	2.03	1.37
225	      Outskirts Director	1.95	3.35	4.50	629	563	367	129	86	1.97	-1.04
226	        Clay Deliveryman	1.95	4.07	6.11	630	570	351	142	86	1.98	1.15
227	          Recycled Brick	1.95	4.94	11.00	639	490	304	125	87	1.82	1.37
228	           Animal Feeder	1.94	2.92	5.70	654	611	443	119	89	2.12	-1.02
229	        Luxurious Hostel	1.94	4.38	12.52	701	455	233	135	95	1.57	3.88
230	             Stonecutter	1.92	4.42	7.15	634	549	322	129	85	1.88	0.86
231	           Potato Digger	1.90	4.87	11.90	638	511	301	138	85	1.82	2.07
232	     German Heath Keeper	1.90	4.96	9.88	646	552	313	146	86	1.79	-0.09
233	                Chairman	1.89	3.45	2.02	605	500	402	102	80	2.07	-0.45
234	          Animal Teacher	1.88	4.22	6.57	571	445	332	97	75	2.01	-0.20
235	               Ropemaker	1.87	4.67	5.23	658	497	311	113	86	1.76	1.70
236	     Calcium Fertilizers	1.86	4.72	4.81	631	451	318	112	82	1.83	0.17
237	             Seed Seller	1.85	4.19	6.54	610	464	339	99	79	1.92	-0.33
238	               Woodcraft	1.85	4.47	5.72	658	533	450	104	85	2.08	-1.00
239	            Clay Kneader	1.85	4.47	5.92	619	475	344	107	80	1.88	0.10
240	             Bellfounder	1.84	4.05	6.15	599	458	282	125	77	1.80	1.00
241	          Stable Planner	1.84	4.06	4.07	621	520	361	113	80	1.93	-0.07
242	              Remodeling	1.84	5.13	10.53	666	462	311	119	86	1.77	-0.39
243	                Overhaul	1.83	4.74	12.50	680	556	363	122	87	1.93	1.16
244	                  Porter	1.82	3.89	4.64	611	513	328	110	78	1.93	0.48
245	              Food Chest	1.82	5.18	7.92	651	467	322	117	83	1.74	0.00
246	            Clay Carrier	1.81	5.10	8.06	616	473	270	135	78	1.73	0.95
247	           Casual Worker	1.80	4.33	8.94	644	571	355	121	81	1.94	1.05
248	            Market Crier	1.79	4.04	7.20	638	537	419	110	80	2.00	-2.02
249	      Firewood Collector	1.79	4.18	5.66	598	462	310	109	75	1.91	1.36
250	          Clay Plasterer	1.79	4.24	7.46	592	512	359	115	74	1.84	-2.14
251	              Clay Firer	1.79	5.14	9.64	615	484	237	131	77	1.57	1.09
252	      Seaweed Fertilizer	1.76	4.69	9.62	609	465	311	110	75	1.82	-0.51
253	                Stockman	1.76	4.85	10.20	616	482	298	118	76	1.82	1.97
254	             Fishing Net	1.73	4.49	7.99	628	506	336	116	76	1.82	0.75
255	             Clay Warden	1.72	3.85	2.90	631	511	359	107	76	1.87	0.61
256	         Oven Firing Boy	1.70	4.12	8.68	615	496	257	123	73	1.60	1.20
257	               Hawktower	1.69	3.85	6.09	667	524	350	106	79	1.80	-0.09
258	Inner Districts Director	1.69	3.93	7.50	617	540	311	120	73	1.70	-1.11
259	                Thresher	1.69	4.29	7.73	659	518	339	120	78	1.72	-0.98
260	          Sheep Provider	1.69	4.54	7.58	668	525	339	127	79	1.82	1.32
261	          Hard Porcelain	1.68	4.40	8.54	680	570	340	137	80	1.79	-0.34
262	                   Lasso	1.66	4.16	9.88	654	548	336	117	76	1.72	-0.52
263	        Horse-Drawn Boat	1.66	4.54	7.52	738	606	366	136	86	1.73	0.58
264	                 Ebonist	1.66	4.58	7.32	604	454	305	107	70	1.70	-1.33
265	        Whisky Distiller	1.63	3.68	5.07	614	503	258	119	70	1.63	1.02
266	      Renovation Company	1.63	3.90	4.21	668	416	280	105	76	1.58	1.06
267	              Stone Cart	1.63	4.54	5.95	668	505	296	119	76	1.55	-0.98
268	                  Pastor	1.63	5.17	6.78	604	413	218	118	69	1.45	1.48
269	              Corn Scoop	1.62	3.67	6.30	678	580	452	101	77	1.94	-1.91
270	        Small Greenhouse	1.61	4.35	6.64	648	466	314	99	73	1.62	0.45
271	        Housebook Master	1.60	5.08	9.75	624	396	222	107	70	1.52	2.22
272	               Pitchfork	1.58	4.41	8.00	667	496	353	116	74	1.64	-1.39
273	           Estate Worker	1.58	5.04	5.50	615	404	226	109	68	1.46	2.61
274	             Stone Tongs	1.57	4.63	7.86	654	536	317	118	72	1.53	-2.27
275	                 Bottles	1.56	4.50	10.69	639	572	272	150	70	1.65	2.75
276	    Three-Field Rotation	1.56	5.22	10.94	670	464	297	103	73	1.59	0.80
277	                Conjurer	1.55	4.21	5.20	634	458	301	105	69	1.60	0.00
278	            Baking Sheet	1.55	4.58	5.77	711	438	294	115	77	1.49	0.42
279	           Scythe Worker	1.55	4.92	9.14	582	426	266	101	63	1.63	-0.53
280	                Beer Tap	1.55	5.06	6.98	671	433	302	102	73	1.54	-0.70
281	          Hunting Trophy	1.54	5.36	11.59	696	457	259	109	75	1.54	3.23
282	        Livestock Feeder	1.52	5.18	9.80	621	449	250	110	66	1.47	1.26
283	           Brewing Water	1.50	4.56	5.29	657	400	298	99	69	1.48	-0.10
284	                 Soldier	1.50	5.11	13.30	628	494	201	120	66	1.40	2.94
285	                  Rustic	1.49	4.57	6.87	586	314	189	88	61	1.32	2.37
286	      Schnapps Distiller	1.49	4.63	8.29	577	426	261	94	60	1.58	-0.20
287	             Seed Trader	1.49	5.31	11.10	662	398	229	109	69	1.39	2.22
288	               Reed Belt	1.48	4.14	3.78	686	523	330	109	71	1.62	-0.54
289	          Fodder Chamber	1.48	4.42	13.78	684	502	172	158	71	1.23	3.35
290	              Sheep Well	1.48	5.40	11.89	696	475	271	107	72	1.48	0.72
291	                Scullery	1.47	3.74	3.70	632	457	324	93	65	1.64	-0.04
292	          Potato Planter	1.46	4.71	6.24	637	372	190	104	65	1.24	1.59
293	                  Stable	1.46	5.52	9.26	647	380	255	98	66	1.41	0.16
294	          Moral Crusader	1.45	4.65	3.96	619	382	233	95	63	1.44	2.48
295	     Schnapps Distillery	1.45	4.84	11.31	650	464	226	114	66	1.31	1.94
296	                  Manger	1.45	5.02	11.98	651	361	187	107	66	1.32	4.29
297	          Lawn Fertilzer	1.45	5.20	8.14	718	481	346	107	73	1.61	-0.10
298	               Wood Pile	1.45	5.28	10.71	660	483	269	113	67	1.41	0.67
299	                  Angler	1.44	4.03	4.98	584	391	243	96	59	1.36	-1.10
300	           Stable Master	1.43	5.14	8.96	630	451	282	105	63	1.52	-0.08
301	              Consultant	1.42	5.71	12.23	603	439	228	110	60	1.41	0.47
302	             Home Brewer	1.41	5.18	8.81	647	434	246	103	64	1.38	0.61
303	      Small-scale Farmer	1.39	3.99	1.41	618	405	325	78	60	1.67	-0.11
304	          Soil Scientist	1.39	4.60	7.94	646	442	241	107	63	1.42	-0.30
305	             Herring Pot	1.38	3.99	5.72	662	474	331	96	64	1.54	-1.14
306	             Tree Cutter	1.38	4.66	5.96	623	415	229	96	60	1.42	2.45
307	           Bale of Straw	1.38	5.20	7.94	671	379	279	92	65	1.41	-0.14
308	                 Cowherd	1.38	5.31	10.72	609	394	180	111	59	1.22	2.08
309	                  Salter	1.37	3.85	3.38	645	468	278	110	62	1.41	-1.78
310	           Acorns Basket	1.37	5.16	11.15	657	488	262	115	63	1.52	1.47
311	            Thick Forest	1.36	5.01	6.60	691	474	286	110	66	1.43	0.70
312	     Store of Experience	1.36	5.53	7.54	649	396	303	88	62	1.47	-1.90
313	      Domestician Expert	1.35	4.71	7.84	594	472	279	96	56	1.51	-0.65
314	          Little Peasant	1.34	3.07	1.92	404	330	259	53	38	1.77	-4.41
315	               Geologist	1.34	3.79	3.44	609	485	298	94	57	1.31	-1.77
316	                 Scholar	1.34	4.67	8.92	652	403	192	111	61	1.22	1.76
317	               Puppeteer	1.34	4.88	3.65	608	351	196	96	57	1.22	3.20
318	        Shepherd's Crook	1.34	4.95	8.75	627	415	305	84	59	1.49	-1.59
319	                  Butler	1.33	5.21	10.52	687	375	183	117	64	1.15	0.73
320	                 Swagman	1.32	3.62	5.37	637	549	333	102	59	1.54	-2.01
321	             Fish Farmer	1.32	3.81	3.03	593	445	298	82	55	1.49	-0.95
322	              Farm Store	1.32	4.52	7.45	608	433	270	86	56	1.48	-0.51
323	                 Tasting	1.30	4.66	7.54	660	453	269	103	60	1.32	-1.19
324	              Manservant	1.30	4.93	8.99	650	371	208	96	59	1.24	1.32
325	           Frame Builder	1.30	4.94	8.56	624	444	217	106	57	1.24	0.62
326	         Forest Guardian	1.30	5.10	7.03	605	401	231	101	55	1.33	0.33
327	   Journeyman Bricklayer	1.30	5.33	10.53	626	456	229	107	57	1.34	0.98
328	              Churchyard	1.30	5.43	11.23	713	477	235	106	65	1.24	1.23
329	              Forest Inn	1.28	3.84	5.07	680	557	309	102	61	1.40	-1.78
330	            Crack Weeder	1.28	5.55	8.63	715	407	251	106	64	1.27	1.15
331	           Cattle Feeder	1.27	4.50	9.29	586	447	265	86	52	1.41	-1.30
332	            Sheep Keeper	1.27	5.16	12.63	650	502	219	114	58	1.35	2.36
333	            Clay Puncher	1.26	4.81	4.14	614	392	282	76	54	1.42	-2.06
334	              New Market	1.26	5.35	9.81	679	418	244	99	60	1.26	-0.07
335	           Dwelling Plan	1.24	4.49	11.10	700	590	259	146	61	1.26	-0.50
336	          Milking Parlor	1.24	5.16	10.74	689	460	231	117	60	1.20	0.16
337	           Rocky Terrain	1.24	5.17	7.59	657	414	265	87	57	1.33	-1.18
338	      Fisherman's Friend	1.23	4.62	5.42	559	395	198	94	48	1.23	1.75
339	          Clearing Spade	1.23	4.85	9.15	627	409	227	94	54	1.17	-1.36
340	       Storehouse Keeper	1.22	3.79	4.25	622	470	288	76	53	1.35	-1.04
341	      Established Person	1.21	4.14	4.61	588	346	238	81	50	1.24	-1.99
