               Card Name	500+rk	300-rk	RankDif
        Assistant Tiller	25	21	-4
     German Heath Keeper	338	334	-4
            Brick Hammer	391	387	-4
           Perennial Rye	500	496	-4
          Stable Planner	96	91	-5
           Brewing Water	322	317	-5
     Renovation Preparer	386	381	-5
                 Cesspit	24	18	-6
        Sculpture Course	174	168	-6
           Fellow Grazer	190	184	-6
                Cottager	244	238	-6
     Young Animal Market	415	409	-6
               Loudmouth	496	490	-6
            Hedge Keeper	93	86	-7
                  Grocer	21	13	-8
                     Hod	52	44	-8
      Carpenter's Parlor	17	8	-9
             Wealthy Man	495	486	-9
                Bookcase	49	39	-10
          Mineral Feeder	242	232	-10
             Housemaster	272	262	-10
              Clay Firer	339	329	-10
         Animal Activist	71	60	-11
             Paper Maker	276	265	-11
         Social Benefits	493	482	-11
                  Grange	205	193	-12
                Stockman	256	244	-12
                   Tutor	135	122	-13
          Milking Parlor	284	271	-13
              Feed Fence	146	132	-14
       Master Bricklayer	220	206	-14
         Building Expert	467	453	-14
            Mineralogist	429	414	-15
       Riverine Shepherd	473	458	-15
               Beanfield	100	83	-17
                  Trowel	145	128	-17
         Village Peasant	197	180	-17
     Elephantgrass Plant	483	466	-17
             Cube Cutter	387	369	-18
          Dwelling Mound	488	470	-18
             Fishing Net	179	160	-19
              Claw Knife	474	455	-19
               Bookshelf	39	19	-20
             Wood Cutter	156	136	-20
      Cooperative Plower	498	478	-20
 Gardening Head Official	59	38	-21
             Food Basket	83	62	-21
         Forest Lake Hut	129	108	-21
             Supply Boat	228	207	-21
                Bohemian	287	266	-21
          Truffle Slicer	314	293	-21
              Hand Truck	88	66	-22
             Clay Supply	104	82	-22
           Potato Digger	157	135	-22
              Transactor	432	410	-22
             Sugar Baker	502	480	-22
              Plow Maker	82	59	-23
            Cattle Buyer	405	382	-23
                Outrider	442	419	-23
    Small Animal Breeder	497	474	-23
           Mining Hammer	61	37	-24
            Throwing Axe	133	109	-24
                 Collier	138	114	-24
          Drift-Net Boat	280	256	-24
          Brotherly Love	476	452	-24
          Dutch Windmill	480	456	-24
            Thick Forest	293	268	-25
              Baseboards	90	64	-26
            Crack Weeder	333	307	-26
             Pig Breeder	376	350	-26
          Wood Collector	95	68	-27
               Woodcraft	232	205	-27
        Wildlife Reserve	261	234	-27
           Clay Supports	31	3	-28
                   Flail	224	195	-29
           Lantern House	286	257	-29
           Milking Place	368	339	-29
 Excursion to the Quarry	140	110	-30
           Forest Trader	277	247	-30
             Stone Buyer	370	340	-30
    Little Stick Knitter	80	49	-31
          Soil Scientist	359	328	-31
                   Brook	452	421	-31
       Pioneering Spirit	468	436	-32
             Tree Cutter	366	333	-33
               Reap Hook	57	23	-34
               Confidant	110	76	-34
           Animal Dealer	211	177	-34
                Beer Tap	259	225	-34
              Woolgrower	408	373	-35
            Blade Shears	425	390	-35
               Chophouse	166	129	-37
       Storehouse Keeper	326	289	-37
               Oven Site	438	401	-37
              Wheel Plow	40	2	-38
            Animal Reeve	62	24	-38
            Water Worker	162	124	-38
    Fire Protection Pond	324	286	-38
          Wood Harvester	403	365	-38
          Lawn Fertilzer	289	249	-40
            Feeding Dish	305	264	-41
      Outskirts Director	335	294	-41
               Wood Rake	159	117	-42
         Lumber Virtuoso	454	412	-42
                  Porter	63	20	-43
             Chain Float	73	29	-44
     Brushwood Collector	163	119	-44
                 Plowman	124	79	-45
                Sculptor	450	405	-45
         Drinking Trough	412	366	-46
             Herring Pot	420	374	-46
                 Hauberg	89	42	-47
                    Stew	160	113	-47
          Master Builder	200	153	-47
              New Market	297	250	-47
           Hollow Warden	398	351	-47
        Small Greenhouse	199	151	-48
        Clay Deliveryman	230	182	-48
          Swimming Class	257	208	-49
               Pub Owner	411	361	-50
             Garden Claw	478	428	-50
     Calcium Fertilizers	262	211	-51
             Wood Worker	482	431	-51
                Conjurer	254	200	-54
        Riparian Builder	477	423	-54
     Maintenance Premium	252	197	-55
        Luxurious Hostel	334	277	-57
            Full Peasant	465	408	-57
            Sheep Walker	119	61	-58
              Cultivator	70	11	-59
             Fish Farmer	355	296	-59
           Turnip Farmer	475	416	-59
           Carrot Museum	101	41	-60
          Sheep Provider	201	141	-60
            House Artist	87	26	-61
            Task Artisan	66	4	-62
                  Angler	433	371	-62
              Mill Wheel	460	398	-62
         Charcoal Burner	85	22	-63
                Layabout	203	140	-63
           Potato Ridger	410	347	-63
      Storehouse Steward	458	395	-63
           Muddy Puddles	94	30	-64
            Pure Breeder	417	352	-65
       Joiner of the Sea	444	379	-65
         Carpenter's Axe	161	95	-66
             Wood Expert	193	127	-66
                 Furrows	365	299	-66
     Reed Roof Renovator	484	418	-66
             Conservator	183	116	-67
        Truffle Searcher	424	357	-67
          Pasture Master	453	386	-67
               Nest Site	155	87	-68
              Wood Field	86	17	-69
          Chief Forester	413	343	-70
               Trellises	470	400	-70
               Wood Pile	349	278	-71
              Millwright	390	319	-71
           Cattle Feeder	399	327	-72
               Stagehand	471	399	-72
            Clay Puncher	290	217	-73
               Mandoline	353	280	-73
                   Lasso	240	165	-75
      Fisherman's Friend	384	308	-76
             Abort Oriel	489	413	-76
                Milk Jug	128	51	-77
              Trout Pool	337	259	-78
                 Gritter	427	349	-78
           Junior Artist	144	65	-79
            Bread Paddle	270	191	-79
           Scythe Worker	315	235	-80
                 Trident	184	102	-82
                   Canoe	236	154	-82
              Corn Scoop	310	228	-82
        Wholesale Market	402	320	-82
         Sleeping Corner	169	85	-84
         Oven Firing Boy	363	279	-84
             Ale-Benches	381	297	-84
         Building Tycoon	469	385	-84
                   Buyer	251	166	-85
             Stone Tongs	421	336	-85
                Lutenist	395	309	-86
      Newly-Plowed Field	189	101	-88
             Greengrocer	219	131	-88
           Stable Master	271	183	-88
  Craftsmanship Promoter	457	368	-89
           Canal Boatman	486	396	-90
             Stonecutter	283	192	-91
             Seed Trader	319	226	-93
      Basketmaker's Wife	139	43	-96
                 Swagman	316	220	-96
               Pitchfork	344	248	-96
                  Pastor	318	219	-99
        Cattle Whisperer	418	318	-100
                 Plumber	274	173	-101
            Forest Stone	117	14	-103
        Large Greenhouse	346	243	-103
      Renovation Company	210	106	-104
         Party Organizer	291	186	-105
              Stone Cart	336	231	-105
        Reed-Hatted Toad	176	70	-106
              Food Chest	292	185	-107
          Petrified Wood	437	330	-107
            Animal Tamer	185	77	-108
    Three-Field Rotation	250	142	-108
                  Priest	180	71	-109
            Civic Facade	430	321	-109
          Potters Market	373	263	-110
            Chicken Coop	208	97	-111
                Scullery	278	167	-111
            Baking Sheet	320	209	-111
                 Bottles	194	81	-113
              Stablehand	459	344	-115
      Domestician Expert	308	187	-121
                 Bucksaw	207	84	-123
     Schnapps Distillery	347	224	-123
            Green Grocer	422	298	-124
                    Corf	446	322	-124
              Bricklayer	170	40	-130
       Lord of the Manor	188	55	-133
                Handplow	202	67	-135
                Pigswill	372	237	-135
               Geologist	374	239	-135
  Bed in the Grain Field	243	107	-136
               Sack Cart	317	179	-138
                  Rustic	294	150	-144
          Potato Planter	364	218	-146
               Carpenter	241	92	-149
        Tree Farm Joiner	206	53	-153
                Equipper	246	93	-153
                Chairman	300	143	-157
        Shepherd's Crook	301	139	-162
     Half-Timbered House	217	54	-163
            Butter Churn	238	69	-169
             Rolling Pin	447	269	-178
            Clay Deposit	441	260	-181
                Claypipe	234	46	-188
          Master Workman	426	202	-224
              Beer Stein	401	171	-230
           Digging Spade	462	212	-250
